time/fps,train/learning_rate,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/critic_loss
7,0.001,7667,1.4251463413238525,7768,1067,1.0,4.71,-3.71,664,0.10807258635759354
7,0.001,7686,1.6897449493408203,7787,1070,1.0,4.78,-3.78,668,0.08510712534189224
7,0.001,7705,1.577375888824463,7806,1073,1.0,4.76,-3.76,672,0.11619046330451965
7,0.001,7721,1.5905768871307373,7822,1075,1.0,4.71,-3.71,676,0.10396702587604523
7,0.001,7739,1.1946916580200195,7840,1078,1.0,4.74,-3.74,680,0.10990363359451294
7,0.001,7756,1.896589756011963,7857,1080,1.0,4.71,-3.71,684,0.09991323947906494
7,0.001,7770,1.503248691558838,7871,1084,1.0,4.7,-3.7,688,0.10917023569345474
7,0.001,7791,1.2352874279022217,7892,1088,1.0,4.78,-3.78,692,0.08719777315855026
7,0.001,7804,1.1110246181488037,7905,1089,1.0,4.72,-3.72,696,0.11156993359327316
7,0.001,7823,1.534802794456482,7924,1093,1.0,4.69,-3.69,700,0.09818895161151886
7,0.001,7845,1.4107078313827515,7946,1100,1.0,4.73,-3.73,704,0.13372531533241272
7,0.001,7861,1.6731085777282715,7962,1102,1.0,4.71,-3.71,708,0.09141842275857925
7,0.001,7878,1.3228769302368164,7979,1105,1.0,4.69,-3.69,712,0.10605219006538391
7,0.001,7893,1.272383689880371,7994,1107,1.0,4.65,-3.65,716,0.12001199275255203
