rollout/success_rate,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed
1.0,0.47006556391716003,6746,-3.32,668,6645,0.059122372418642044,4.32,0.001,7,922
1.0,0.7327936887741089,6762,-3.3,672,6661,0.06306903064250946,4.3,0.001,7,929
1.0,0.8093059062957764,6779,-3.33,676,6678,0.06735961139202118,4.33,0.001,7,933
1.0,0.6031345725059509,6801,-3.32,680,6700,0.07554732263088226,4.32,0.001,7,936
1.0,0.4278157949447632,6821,-3.23,684,6720,0.06352665275335312,4.23,0.001,7,941
1.0,0.5752726793289185,6837,-3.21,688,6736,0.07222168147563934,4.21,0.001,7,945
1.0,0.6152704954147339,6852,-3.23,692,6751,0.08237766474485397,4.23,0.001,7,947
1.0,0.5563488006591797,6869,-3.21,696,6768,0.07354877889156342,4.21,0.001,7,949
1.0,0.3107622265815735,6887,-3.2,700,6786,0.06830504536628723,4.2,0.001,7,956
1.0,0.700796902179718,6908,-3.25,704,6807,0.07702814787626266,4.25,0.001,7,970
1.0,0.41728466749191284,6923,-3.23,708,6822,0.06777451932430267,4.23,0.001,7,974
1.0,0.5184099674224854,6935,-3.19,712,6834,0.06822171807289124,4.19,0.001,7,978
1.0,0.5191254615783691,6954,-3.18,716,6853,0.06252182275056839,4.18,0.001,7,983
1.0,0.6979738473892212,6969,-3.14,720,6868,0.07157015800476074,4.14,0.001,7,986
1.0,0.6948357820510864,6988,-3.17,724,6887,0.06375112384557724,4.17,0.001,7,989
1.0,0.5801297426223755,7002,-3.16,728,6901,0.08059647679328918,4.16,0.001,7,993
1.0,0.5327838063240051,7019,-3.17,732,6918,0.05545613914728165,4.17,0.001,7,995
1.0,0.7423509359359741,7033,-3.18,736,6932,0.07097933441400528,4.18,0.001,7,997
1.0,0.4406278431415558,7047,-3.22,740,6946,0.0817970335483551,4.22,0.001,7,999
1.0,0.5473311543464661,7062,-3.21,744,6961,0.06850167363882065,4.21,0.001,7,1001
1.0,0.5999696254730225,7079,-3.2,748,6978,0.08173908293247223,4.2,0.001,7,1006
1.0,0.6325121521949768,7096,-3.12,752,6995,0.0870191752910614,4.12,0.001,7,1010
1.0,0.3348497450351715,7115,-3.11,756,7014,0.08184553682804108,4.11,0.001,7,1013
1.0,0.45302292704582214,7131,-3.13,760,7030,0.06263156980276108,4.13,0.001,7,1017
1.0,0.7132580280303955,7147,-3.18,764,7046,0.06438032537698746,4.18,0.001,6,1021
1.0,0.7373173236846924,7162,-3.16,768,7061,0.0641823410987854,4.16,0.001,6,1023
1.0,0.6483704447746277,7176,-3.14,772,7075,0.06901440024375916,4.14,0.001,6,1027
1.0,0.7018418908119202,7188,-3.09,776,7087,0.08433088660240173,4.09,0.001,6,1030
1.0,0.5723421573638916,7205,-3.04,780,7104,0.06270988285541534,4.04,0.001,6,1032
1.0,0.6404775977134705,7223,-3.02,784,7122,0.06625916808843613,4.02,0.001,6,1035
1.0,0.7190755605697632,7237,-3.0,788,7136,0.06813319772481918,4.0,0.001,6,1037
1.0,0.7151497602462769,7254,-3.02,792,7153,0.06874947249889374,4.02,0.001,6,1039
1.0,0.4032166600227356,7272,-3.03,796,7171,0.07442687451839447,4.03,0.001,6,1044
1.0,0.42204728722572327,7290,-3.03,800,7189,0.07055306434631348,4.03,0.001,6,1048
1.0,0.3914514183998108,7307,-2.99,804,7206,0.057729125022888184,3.99,0.001,6,1052
1.0,0.4869406223297119,7319,-2.96,808,7218,0.07874967902898788,3.96,0.001,6,1055
1.0,0.35489317774772644,7336,-3.01,812,7235,0.08058372139930725,4.01,0.001,6,1058
1.0,0.42992764711380005,7354,-3.0,816,7253,0.06656360626220703,4.0,0.001,6,1061
1.0,0.33247557282447815,7369,-3.0,820,7268,0.07154756784439087,4.0,0.001,6,1064
1.0,0.5747567415237427,7391,-3.03,824,7290,0.06211987882852554,4.03,0.001,6,1069
1.0,0.1811010241508484,7411,-3.09,828,7310,0.10228811204433441,4.09,0.001,6,1072
1.0,0.5054734349250793,7432,-3.13,832,7331,0.05596886947751045,4.13,0.001,6,1075
1.0,0.6111938953399658,7444,-3.11,836,7343,0.0706513300538063,4.11,0.001,6,1077
1.0,0.41986140608787537,7458,-3.11,840,7357,0.06780339777469635,4.11,0.001,6,1079
1.0,0.5441102385520935,7472,-3.1,844,7371,0.06372489035129547,4.1,0.001,6,1081
1.0,0.3251134753227234,7499,-3.2,848,7398,0.06652684509754181,4.2,0.001,6,1087
1.0,0.47223100066185,7512,-3.16,852,7411,0.06140311434864998,4.16,0.001,6,1090
1.0,0.34234729409217834,7530,-3.15,856,7429,0.05001850426197052,4.15,0.001,6,1096
1.0,0.4582255482673645,7546,-3.15,860,7445,0.05931350961327553,4.15,0.001,6,1102
1.0,0.36149051785469055,7569,-3.22,864,7468,0.06699034571647644,4.22,0.001,6,1111
